pair,from,to,chang,time
ANKRUSDT,0.01959,0.01925,-1.7355793772332824,09-01-2023 01:52:07
ANKRUSDT,0.01934,0.01959,1.2926577042399185,09-01-2023 01:57:16
WOOUSDT,0.1463,0.148,1.16199589883799,09-01-2023 02:02:13
ETHDOWNUSDT,0.8508,0.8375,-1.563234602726843,09-01-2023 02:09:04
ADAUPUSDT,0.27,0.274,1.4814814814814827,09-01-2023 02:09:04
ADADOWNUSDT,0.005611,0.00554,-1.2653715915166617,09-01-2023 02:09:04
ADAUPUSDT,0.274,0.277,1.094890510948906,09-01-2023 02:09:16
ADADOWNUSDT,0.00554,0.005448,-1.6606498194945862,09-01-2023 02:09:16
BNBUPUSDT,34.84,35.29,1.2916188289322494,09-01-2023 02:09:16
BNBDOWNUSDT,0.0188,0.01858,-1.1702127659574544,09-01-2023 02:09:16
WAVESUSDT,1.539,1.512,-1.754385964912275,09-01-2023 02:09:27
BNBDOWNUSDT,0.01858,0.01877,1.0226049515608138,09-01-2023 02:09:27
ADAUPUSDT,0.275,0.272,-1.090909090909092,09-01-2023 02:10:30
ADADOWNUSDT,0.0055,0.005581,1.472727272727279,09-01-2023 02:10:30
BNBUPUSDT,35.02,34.64,-1.0850942318675114,09-01-2023 02:10:30
XRPDOWNUSDT,0.0003012,0.0003043,1.0292164674634865,09-01-2023 02:10:30
ZILUSDT,0.02149,0.02171,1.0237319683573822,09-01-2023 02:16:48
XVSUSDT,4.35,4.4,1.1494252873563382,09-01-2023 02:25:08
PHAUSDT,0.1176,0.1164,-1.0204081632653,09-01-2023 02:27:08
WOOUSDT,0.1526,0.151,-1.0484927916120694,09-01-2023 02:34:16
WAVESUSDT,1.515,1.531,1.0561056105610571,09-01-2023 02:57:09
SOLUSDT,14.04,14.72,4.843304843304854,09-01-2023 02:57:09
LRCUSDT,0.2164,0.2186,1.0166358595193992,09-01-2023 02:57:09
ADAUPUSDT,0.271,0.274,1.107011070110702,09-01-2023 02:57:09
BNBUPUSDT,34.53,35.0,1.3611352447147376,09-01-2023 02:57:09
SUSHIUSDT,1.085,1.096,1.0138248847926379,09-01-2023 02:57:09
APEUSDT,4.421,4.468,1.0631078941415901,09-01-2023 02:57:09
APTUSDT,3.9001,3.9403,1.0307428014666293,09-01-2023 02:57:09
ADAUSDT,0.295,0.2985,1.1864406779661028,09-01-2023 02:57:19
ETHDOWNUSDT,0.825,0.8137,-1.369696969696967,09-01-2023 02:57:19
ADAUPUSDT,0.274,0.285,4.014598540145968,09-01-2023 02:57:19
ADADOWNUSDT,0.005573,0.005452,-2.1711824869908414,09-01-2023 02:57:19
BNBUPUSDT,35.0,35.4,1.1428571428571388,09-01-2023 02:57:19
SOLUSDT,14.81,14.6,-1.4179608372721193,09-01-2023 02:57:31
ETHDOWNUSDT,0.8137,0.8231,1.155216910409251,09-01-2023 02:57:31
ADADOWNUSDT,0.005452,0.005339,-2.072633895818053,09-01-2023 02:57:31
ADAUPUSDT,0.285,0.279,-2.1052631578947194,09-01-2023 02:58:32
BNBUPUSDT,35.54,35.02,-1.463140123804153,09-01-2023 02:58:32
XRPDOWNUSDT,0.0002981,0.0003015,1.1405568601140652,09-01-2023 02:58:32
LINKUPUSDT,0.00541,0.0055,1.6635859519408467,09-01-2023 03:00:48
LINKDOWNUSDT,0.003105,0.00307,-1.1272141706924415,09-01-2023 03:00:48
GALAUSDT,0.03441,0.03361,-2.324905550712008,09-01-2023 03:00:48
LEVERUSDT,0.00188,0.001859,-1.117021276595743,09-01-2023 03:00:48
GALAUSDT,0.03326,0.03196,-3.908598917618748,09-01-2023 03:01:20
ADADOWNUSDT,0.005475,0.00542,-1.004566210045653,09-01-2023 03:01:43
FISUSDT,0.4019,0.3964,-1.3684996267728302,09-01-2023 03:01:43
MASKUSDT,2.435,2.48,1.8480492813141656,09-01-2023 03:01:43
LDOUSDT,1.993,2.017,1.2042147516306974,09-01-2023 03:01:53
CKBUSDT,0.00257,0.00262,1.945525291828799,09-01-2023 03:02:25
ZILUSDT,0.02136,0.02162,1.2172284644194749,09-01-2023 03:03:38
ADADOWNUSDT,0.005435,0.005379,-1.0303587856485672,09-01-2023 03:03:38
LINKUPUSDT,0.00544,0.00551,1.2867647058823481,09-01-2023 03:03:38
CKBUSDT,0.00263,0.00258,-1.9011406844106515,09-01-2023 03:03:38
MASKUSDT,2.481,2.515,1.3704151551793733,09-01-2023 03:03:38
GALAUSDT,0.03212,0.03259,1.463262764632622,09-01-2023 03:03:38
LDOUSDT,1.993,1.972,-1.0536879076768755,09-01-2023 03:03:38
ADADOWNUSDT,0.005266,0.005334,1.291302696543873,09-01-2023 03:07:44
WOOUSDT,0.1553,0.1575,1.41661300708307,09-01-2023 03:07:44
MAGICUSDT,0.5165,0.5108,-1.1035818005808185,09-01-2023 03:07:55
CKBUSDT,0.00264,0.00261,-1.1363636363636394,09-01-2023 03:12:20
ATOMUSDT,10.787,11.0,1.9745990544173464,09-01-2023 03:13:53
ATOMUSDT,11.0,10.878,-1.109090909090908,09-01-2023 03:14:09
DCRUSDT,19.0,19.2,1.0526315789473648,09-01-2023 03:14:09
ATOMUSDT,10.878,11.003,1.149108291965435,09-01-2023 03:14:28
CKBUSDT,0.00262,0.00258,-1.5267175572519125,09-01-2023 03:16:41
GALAUSDT,0.03265,0.03314,1.5007656967840868,09-01-2023 03:16:41
PYRUSDT,3.4,3.44,1.176470588235295,09-01-2023 03:16:41
ADAUPUSDT,0.28,0.277,-1.0714285714285723,09-01-2023 03:20:02
MANAUSDT,0.3976,0.4023,1.1820925553319874,09-01-2023 03:26:43
ADADOWNUSDT,0.005389,0.005321,-1.2618296529968358,09-01-2023 03:28:49
PLAUSDT,0.154,0.156,1.2987012987012998,09-01-2023 03:28:49
MAGICUSDT,0.52,0.526,1.1538461538461549,09-01-2023 03:28:49
MAGICUSDT,0.5279,0.5353,1.4017806402727717,09-01-2023 03:29:42
SANDUSDT,0.5108,0.5201,1.8206734534064164,09-01-2023 03:29:53
CKBUSDT,0.00263,0.0026,-1.140684410646391,09-01-2023 03:32:42
ZILUSDT,0.02242,0.02268,1.1596788581623543,09-01-2023 03:33:14
PLAUSDT,0.159,0.161,1.2578616352201268,09-01-2023 03:38:42
MAGICUSDT,0.5245,0.5187,-1.1058150619637592,09-01-2023 03:41:09
HOOKUSDT,1.329,1.3127,-1.226486079759216,09-01-2023 03:46:02
FISUSDT,0.4013,0.3962,-1.2708696735609255,09-01-2023 03:47:30
PLAUSDT,0.159,0.161,1.2578616352201268,09-01-2023 03:48:59
PLAUSDT,0.161,0.159,-1.2422360248447217,09-01-2023 03:49:30
FISUSDT,0.4101,0.4055,-1.1216776396000958,09-01-2023 03:53:29
ADAUPUSDT,0.285,0.29,1.7543859649122824,09-01-2023 03:56:01
ADADOWNUSDT,0.005313,0.005215,-1.844532279314888,09-01-2023 03:56:01
ADAUPUSDT,0.29,0.294,1.3793103448275876,09-01-2023 03:56:12
ADADOWNUSDT,0.005215,0.005123,-1.7641418983700876,09-01-2023 03:56:12
ADAUSDT,0.3026,0.3106,2.643754130865832,09-01-2023 03:57:36
ETCUSDT,20.61,20.83,1.0674429888403634,09-01-2023 03:57:36
FETUSDT,0.1443,0.146,1.1781011781011637,09-01-2023 03:57:36
ADAUPUSDT,0.294,0.314,6.80272108843538,09-01-2023 03:57:36
ADADOWNUSDT,0.005149,0.004715,-8.428821130316573,09-01-2023 03:57:36
ADADOWNUSDT,0.004715,0.004827,2.375397667020151,09-01-2023 03:57:47
ADAUPUSDT,0.311,0.315,1.2861736334405156,09-01-2023 03:57:58
ADAUPUSDT,0.315,0.311,-1.2698412698412709,09-01-2023 03:58:08
ADADOWNUSDT,0.004791,0.004839,1.001878522229186,09-01-2023 03:58:19
ADAUPUSDT,0.312,0.316,1.2820512820512833,09-01-2023 03:58:53
ADADOWNUSDT,0.004801,0.004715,-1.7912934805248935,09-01-2023 03:58:53
ETCUSDT,21.07,21.46,1.850972947318465,09-01-2023 03:59:04
ADAUPUSDT,0.313,0.317,1.2779552715654963,09-01-2023 03:59:36
ADADOWNUSDT,0.004717,0.004626,-1.929192283230866,09-01-2023 04:02:21
ADAUPUSDT,0.324,0.32,-1.234567901234569,09-01-2023 04:02:42
ADAUSDT,0.3137,0.3176,1.2432260121134888,09-01-2023 04:04:21
ADAUPUSDT,0.323,0.331,2.4767801857585163,09-01-2023 04:04:21
ADADOWNUSDT,0.004625,0.00447,-3.3513513513513464,09-01-2023 04:04:21
ADADOWNUSDT,0.004526,0.0046,1.6349977905435327,09-01-2023 04:06:05
GALAUSDT,0.03391,0.03429,1.1206133883810037,09-01-2023 04:07:04
ADAUPUSDT,0.322,0.318,-1.2422360248447217,09-01-2023 04:10:36
DIAUSDT,0.298,0.294,-1.342281879194632,09-01-2023 04:12:51
ADADOWNUSDT,0.004622,0.004565,-1.233232366940732,09-01-2023 04:22:18
ADADOWNUSDT,0.004564,0.004511,-1.161262050832605,09-01-2023 04:23:52
FISUSDT,0.4146,0.4084,-1.4954172696575105,09-01-2023 04:23:52
CKBUSDT,0.00265,0.00271,2.2641509433962326,09-01-2023 04:24:36
BNTUSDT,0.354,0.358,1.12994350282486,09-01-2023 04:25:32
ADAUPUSDT,0.333,0.338,1.5015015015015027,09-01-2023 04:29:05
ADADOWNUSDT,0.004445,0.004369,-1.7097862767154228,09-01-2023 04:29:05
CKBUSDT,0.00272,0.00277,1.8382352941176356,09-01-2023 04:29:41
APEUSDT,4.475,4.531,1.2513966480446939,09-01-2023 04:29:41
APEUSDT,4.531,4.482,-1.081438975943489,09-01-2023 04:29:52
CKBUSDT,0.00275,0.00279,1.4545454545454584,09-01-2023 04:30:15
CKBUSDT,0.00276,0.00271,-1.8115942028985397,09-01-2023 04:31:12
ADAUPUSDT,0.337,0.333,-1.1869436201780426,09-01-2023 04:31:23
